 wavelength   u             g             r            i            z            Y            VR             
  447          6.7145E-4     91.05067931   2.5318E-4    0.01137034   0.00205511   -2.47E-5     3.844828E-4    
  448          6.6769E-4     90.97112414   2.0616E-4    0.01099975   0.00230932   3.8018E-4    4.382759E-4    
  449          7.5262E-4     90.89564138   2.05E-4      0.00899242   0.00226571   4.192E-4     5.6E-4         
  450          5.5007E-4     90.86694138   1.8388E-4    0.00528644   0.00213767   4.16E-5      4.810345E-4    
  451          6.6441E-4     90.89437931   5.255E-4     0.00299414   0.00205888   3.2956E-4    4.765517E-4    
  452          8.1669E-4     90.96256207   4.1271E-4    0.00236241   0.00222108   2.1336E-4    4.444828E-4    
  453          6.0252E-4     91.05039655   3.8878E-4    0.00210925   0.00272198   4.4024E-4    4.806897E-4    
  454          7.6869E-4     91.13614138   2.7425E-4    0.00206815   0.00395396   -2.55E-5     5.710345E-4    
  455          6.1659E-4     91.15906207   5.5216E-4    0.00210855   0.00529201   2.0285E-4    4.058621E-4    
  456          7.8397E-4     91.09277931   4.4892E-4    0.003836     0.00544962   3.2179E-4    4.962069E-4    
  457          5.8872E-4     90.97605862   4.2351E-4    0.00634477   0.00453551   3.0275E-4    3.865517E-4    
  458          7.2383E-4     90.88653793   9.37E-5      0.00590907   0.00358172   4.0596E-4    4.196552E-4    
  459          6.0655E-4     90.85872414   3.0407E-4    0.00352842   0.00345285   1.8986E-4    4.224138E-4    
  460          6.9486E-4     90.90515862   3.4843E-4    0.00247476   0.0027889    3.1069E-4    4.375862E-4    
  461          6.8907E-4     91.01503103   5.146E-4     0.00203116   0.00255399   1.37E-4      3.810345E-4    
  462          7.5586E-4     91.16162759   4.3077E-4    0.00216816   0.0021446    2.4974E-4    7.534483E-4    
  463          6.0062E-4     91.30620345   3.8925E-4    0.001885     0.00218201   1.7538E-4    6.493103E-4    
  464          5.3786E-4     91.40290345   1.9831E-4    0.0020232    0.00206187   1.2468E-4    5.744828E-4    
  465          5.6666E-4     91.43215517   4.1294E-4    0.00180403   0.00222913   2.3582E-4    7.462069E-4    
  466          7.8535E-4     91.38931034   4.3993E-4    0.00188596   0.00231079   3.97E-5      6.427586E-4    
  467          6.2259E-4     91.26862759   3.387E-4     0.00181377   0.00257817   2.0768E-4    7.896552E-4    
  468          7.5466E-4     91.07275517   4.2233E-4    0.00204814   0.00281947   8.32E-5      0.0010527586   
  469          5.2914E-4     90.82714828   3.357E-4     0.00242217   0.0030196    2.3058E-4    0.0011562069   
  470          6.0141E-4     90.59416897   2.3294E-4    0.00434727   0.00310843   1.6969E-4    0.0014044828   
  471          4.6976E-4     90.45363448   6.04E-5      0.00783451   0.00334479   1.8143E-4    0.0018455172   
  472          5.7666E-4     90.42982069   2.1765E-4    0.00870643   0.00328848   -6.31E-5     0.0025724138   
  473          4.4652E-4     90.51873793   2.3168E-4    0.00622909   0.00301847   1.7707E-4    0.0034444828   
  474          6.2021E-4     90.69572069   2.8254E-4    0.00360367   0.00269445   2.4985E-4    0.0043362069   
  475          4.9921E-4     90.89704483   2.8265E-4    0.00247545   0.00209333   3.1091E-4    0.005207931    
  476          5.3562E-4     91.07421379   2.7897E-4    0.00256776   0.00233735   3.9105E-4    0.0068158621   
  477          3.9269E-4     91.16083103   2.0602E-4    0.0027703    0.00217765   2.7908E-4    0.0088972414   
  478          5.3962E-4     91.14034483   3.4237E-4    0.00279969   0.00232941   2.4025E-4    0.0118537931   
  479          5.36E-4       91.05272759   -4.23E-5     0.00289052   0.00229867   2.2126E-4    0.0160972414   
  480          4.7286E-4     90.9623       1.8272E-4    0.00297823   0.00229373   3.1762E-4    0.0226131034   
  481          5.7614E-4     90.89357586   2.491E-4     0.00306496   0.00231267   4.1963E-4    0.0322644828   
  482          3.9845E-4     90.84139655   1.6023E-4    0.00349302   0.0020485    3.9446E-4    0.0467013793   
  483          3.4621E-4     90.77604138   5.2737E-4    0.00386324   0.00231751   3.9851E-4    0.0671465517   
  484          4.46E-4       90.67296207   3.0183E-4    0.00395917   0.00211294   6.26E-5      0.0970803448   
  485          4.0269E-4     90.53666897   4.8529E-4    0.00335356   0.00187729   3.2801E-4    0.141172069    
  486          5.1145E-4     90.39465172   3.3113E-4    0.00301932   0.00193832   1.4124E-4    0.2074851724   
  487          3.9E-4        90.30919655   2.8248E-4    0.00443058   0.00171327   2.3559E-4    0.3110141379   
  488          4.6245E-4     90.34268621   2.5164E-4    0.01082195   0.00185298   2.975E-4     0.477647931    
  489          4.1924E-4     90.51257586   3.0271E-4    0.01672908   0.00163473   2.7897E-4    0.7571213793   
  490          4.4076E-4     90.76255172   1.0235E-4    0.01250585   0.00177163   4.5221E-4    1.2434275862   
  491          3.7745E-4     90.95983793   1.3113E-4    0.00504151   0.00176196   0.00109963   2.1198151724   
  492          4.3372E-4     90.98217241   6.1E-5       0.00280447   0.00195973   0.00154094   3.7437868966   
  493          4.4997E-4     90.81685517   4.55E-5      0.00290832   0.00191119   0.00121086   6.7933568966   
  494          4.1566E-4     90.53397241   4.14E-5      0.00342026   0.00215803   7.7431E-4    12.4632937931  
  495          4.7559E-4     90.24956207   1.2798E-4    0.00478034   0.00218123   7.4757E-4    22.4305862069  
  496          3.9945E-4     90.08236207   2.0177E-4    0.00741625   0.00207113   5.078E-4     37.9767448276  
  497          3.2859E-4     90.10976207   1.2919E-4    0.01258975   0.00206786   3.0634E-4    57.84329       
  498          4.1597E-4     90.30010345   2.25E-5      0.01695585   0.00205836   3.2787E-4    77.0375451724  
  499          3.9976E-4     90.56425862   9.42E-5      0.01363018   0.0019033    5.6857E-4    90.054927931   
  500          4.0514E-4     90.79928276   1.0369E-4    0.0065474    0.00175342   0.00144106   95.7018137931  
  501          3.6876E-4     90.9337931    4.36E-5      0.00275111   0.00193574   0.00213018   96.7911248276  
  502          3.9959E-4     90.97737931   1.1926E-4    0.00217489   0.00186771   0.00199478   96.3151537931  
  503          4.2903E-4     90.98694138   2.5994E-4    0.00198084   0.00179159   0.00100917   95.8356196552  
  504          3.9417E-4     90.99912069   3.2886E-4    0.00198338   0.00177096   5.4495E-4    95.7612586207  
  505          3.8341E-4     91.02797586   2.9605E-4    0.00201095   0.00176485   3.8394E-4    96.0214972414  
  506          2.9441E-4     91.06998276   1.9276E-4    0.00209053   0.0016903    3.6387E-4    96.4795796552  
  507          4.0334E-4     91.10912414   3.155E-4     0.0022823    0.0018424    1.6928E-4    97.0049368966  
  508          5.0707E-4     91.12926207   3.0776E-4    0.00274985   0.00178589   8.54E-5      97.4894489655  
  509          4.18E-4       91.10874828   2.1006E-4    0.00294604   0.00198147   2.0149E-4    97.8147934483  
  510          2.9634E-4     91.01865172   1.7446E-4    0.00317378   0.00218827   2.4492E-4    97.8908375862  
  511          5.2152E-4     90.83905517   3.1103E-4    0.00300047   0.00197797   2.595E-4     97.7550803448  
  512          6.3634E-4     90.58448621   1.7816E-4    0.00316867   0.00199512   2.7821E-4    97.561957931   
  513          8.1262E-4     90.32511724   1.29E-5      0.00303433   0.00185643   8.82E-5      97.4374137931  
  514          7.9648E-4     90.16713793   1.2467E-4    0.00290581   0.00197014   3.9346E-4    97.5220724138  
  515          6.7621E-4     90.17557586   -5.08E-5     0.00276501   0.00221701   1.9114E-4    97.6946096552  
  516          5.4552E-4     90.34006552   1.0614E-4    0.00240518   0.00235766   2.3054E-4    97.8419172414  
  517          4.0541E-4     90.57765172   1.663E-4     0.00227454   0.00223645   1.6609E-4    97.8322924138  
  518          4.3283E-4     90.78035172   1.8389E-4    0.0022106    0.0025334    1.3406E-4    97.6199134483  
  519          4.4741E-4     90.89528621   3.8581E-4    0.00244035   0.00266102   3.2641E-4    97.3453417241  
  520          6.5465E-4     90.93276897   6.16E-5      0.00241187   0.00317026   1.225E-4     97.1604351724  
  521          6.4024E-4     90.94543103   8.98E-5      0.00292063   0.00353836   1.2388E-4    97.17658       
  522          6.6562E-4     90.99393448   2.9084E-4    0.00315999   0.00373803   1.1214E-4    97.3969172414  
  523          6.3103E-4     91.11501379   1.2507E-4    0.00322706   0.00361351   1.3391E-4    97.7174486207  
  524          7.2938E-4     91.28736207   2.1059E-4    0.00287697   0.00337024   2.7535E-4    97.9638031034  
  525          7.819E-4      91.46653448   3.804E-4     0.00248312   0.00272628   3.8649E-4    98.0437865517  
  526          8.6372E-4     91.59938276   3.525E-4     0.0024714    0.00225114   6.6208E-4    98.0493582759  
  527          8.3459E-4     91.6465       3.5024E-4    0.00300538   0.00208499   8.6493E-4    97.9777965517  
  528          7.8559E-4     91.61121034   3.9788E-4    0.00319258   0.00202319   0.001299     97.9451862069  
  529          8.71E-4       91.52126552   3.0166E-4    0.0031606    0.00193816   0.00220021   97.9662648276  
  530          7.3469E-4     91.41046897   3.9911E-4    0.0027857    0.00192146   0.00244576   98.0383572414  
  531          6.1865E-4     91.30928276   5.3481E-4    0.00244284   0.00185505   0.00153325   98.0561417241  
  532          5.5097E-4     91.23495862   2.9628E-4    0.00239946   0.00182721   6.7826E-4    97.9954010345  
  533          5.1493E-4     91.18558276   2.9297E-4    0.00261014   0.00202891   5.7832E-4    97.8581127586  
  534          5.2759E-4     91.17791034   3.4693E-4    0.00303268   0.0023436    4.8625E-4    97.6754689655  
  535          4.7114E-4     91.21118276   2.7167E-4    0.00331278   0.00229022   6.7539E-4    97.6144603448  
  536          7.5286E-4     91.22180345   3.5735E-4    0.00313362   0.00266816   7.8741E-4    97.6487437931  
  537          6.9472E-4     91.09017931   3.8995E-4    0.00258605   0.00365973   0.00113569   97.7916313793  
  538          7.4948E-4     90.68825862   3.84E-4      0.00211027   0.00396693   0.00100902   97.9476096552  
  539          8.5155E-4     90.03992414   3.1224E-4    0.00192547   0.00342678   7.9829E-4    98.0445762069  
  540          7.9135E-4     89.33193448   3.8342E-4    0.0018705    0.00270025   6.5722E-4    98.0437586207  
  541          6.3872E-4     88.77675862   3.889E-4     0.00187251   0.00222284   3.8571E-4    97.9457368966  
  542          8.5859E-4     88.5078931    4.8896E-4    0.00192834   0.00228749   2.874E-4     97.7956341379  
  543          8.4248E-4     88.42254138   5.3069E-4    0.00186315   0.00237568   3.0599E-4    97.7111758621  
  544          7.9135E-4     87.78867586   4.429E-4     0.00204199   0.00240497   4.4008E-4    97.7137206897  
  545          8.0407E-4     84.20556552   4.8144E-4    0.00248941   0.00241926   3.8434E-4    97.8065396552  
  546          8.2072E-4     76.08444138   5.5689E-4    0.00269679   0.00265767   4.1323E-4    97.8814589655  
  547          8.9862E-4     63.66705862   5.5918E-4    0.00265815   0.00243815   1.3631E-4    97.9007703448  
  548          9.1869E-4     48.93305172   6.5536E-4    0.00236074   0.00254192   1.9548E-4    97.8370234483  
  549          7.9497E-4     33.56917241   8.6449E-4    0.00193927   0.00226551   3.4004E-4    97.7128313793  
  550          9.731E-4      19.97440345   0.00120109   0.00184995   0.0021454    2.3853E-4    97.5884868966  
  551          9.7321E-4     10.40014862   0.00165092   0.0019156    0.0022519    7.0281E-4    97.53751       
  552          8.9717E-4     5.28181483    0.0023281    0.00178712   0.00224761   0.00130232   97.5649048276  
  553          8.261E-4      3.04963931    0.0034053    0.00174848   0.00216961   0.00188628   97.6695727586  
  554          6.8766E-4     1.99418862    0.00546306   0.00170167   0.001905     0.00166935   97.7654110345  
